id	type	dialog	punchline1(利己)	tag1	punchline2	tag2	punchline3	tag3	punchline4	tag4
1	A	昨天|||我在西門町的路邊，撿到一個紅包。裡面有錢跟一張照片		1	旁邊忽然衝出一個阿姨跟我說，同學錢可以拿走，我女兒想要再考慮一下	2	立人立人	3	損人	2
2	B	我很難過，我跟我的夢中情人在今天上午分手了	他跟我求婚了	2	7:45鬧種想了，我醒來了。	3	立人立人	2	損人	1
3	A	前幾年我的胸口裡非常空虛。	所以我存了筆錢去隆了乳。現在扎實多了。	3	我決定買小一個罩杯。恩他還是很空虛呢	1	立人立人	1	損人	3
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
